M,G,beta,phi,T,mu,mid
100000.0,88888.9,0.232832,0.28351,4.29494,1.21766,1.21682
50000.0,94444.4,0.466689,0.26075,2.14276,0.558724,0.572658
55555.6,94444.4,0.419855,0.262096,2.38178,0.624253,0.63754
61111.1,94444.4,0.382735,0.268147,2.61278,0.700607,0.68302
66666.7,94444.4,0.338443,0.273185,2.95471,0.807183,0.764352
72222.2,94444.4,0.319933,0.263993,3.12566,0.82515,0.832626
77777.8,94444.4,0.295403,0.272932,3.38521,0.92393,0.887288
83333.3,94444.4,0.28122,0.260957,3.55594,0.927947,0.961244
88888.9,94444.4,0.280608,0.273819,3.56369,0.975808,1.0063
94444.4,94444.4,0.250637,0.272249,3.98983,1.08623,1.09243
100000.0,94444.4,0.23928,0.263142,4.17921,1.09973,1.13748
50000.0,100000.0,0.460715,0.245011,2.17054,0.531807,0.542117
55555.6,100000.0,0.41409,0.257009,2.41494,0.620661,0.611085
61111.1,100000.0,0.380162,0.248542,2.63046,0.65378,0.68159
66666.7,100000.0,0.335803,0.247053,2.97793,0.735709,0.728451
72222.2,100000.0,0.320801,0.250323,3.1172,0.780308,0.797885
77777.8,100000.0,0.298972,0.249913,3.3448,0.835908,0.829792
83333.3,100000.0,0.286714,0.253469,3.48779,0.884049,0.90574
88888.9,100000.0,0.26023,0.249441,3.84275,0.958539,0.966977
94444.4,100000.0,0.245211,0.259958,4.07813,1.06014,1.01943
100000.0,100000.0,0.233878,0.253732,4.27573,1.08489,1.09442
