M,G,beta,phi,T,mu,mid
50000.0,50000.0,0.462138,0.500592,2.16385,1.08321,1.07946
55555.6,50000.0,0.401336,0.494473,2.49168,1.23207,1.21533
61111.1,50000.0,0.37703,0.507171,2.65231,1.34517,1.34281
66666.7,50000.0,0.350146,0.499816,2.85595,1.42745,1.44611
72222.2,50000.0,0.310602,0.500817,3.21956,1.61241,1.58221
77777.8,50000.0,0.300136,0.503043,3.33183,1.67605,1.71454
83333.3,50000.0,0.266598,0.508534,3.75097,1.9075,1.8192
88888.9,50000.0,0.248104,0.489308,4.03057,1.97219,1.94909
94444.4,50000.0,0.243012,0.505725,4.11502,2.08106,2.05823
100000.0,50000.0,0.224801,0.513307,4.44838,2.28338,2.15788
50000.0,55555.6,0.456127,0.456354,2.19237,1.0005,0.981887
55555.6,55555.6,0.402669,0.454233,2.48343,1.12806,1.10018
61111.1,55555.6,0.379359,0.457558,2.63602,1.20614,1.21144
66666.7,55555.6,0.344727,0.452746,2.90084,1.31335,1.29197
72222.2,55555.6,0.312227,0.471449,3.2028,1.50996,1.42141
77777.8,55555.6,0.28662,0.452297,3.48895,1.57804,1.52004
83333.3,55555.6,0.282279,0.448647,3.54259,1.58937,1.63297
88888.9,55555.6,0.255807,0.4412,3.9092,1.72474,1.72211
94444.4,55555.6,0.243259,0.459521,4.11084,1.88902,1.84729
100000.0,55555.6,0.232787,0.445702,4.29577,1.91463,1.95526
50000.0,61111.1,0.454296,0.417898,2.20121,0.91988,0.894964
55555.6,61111.1,0.406812,0.4084,2.45814,1.0039,0.983956
61111.1,61111.1,0.362905,0.409672,2.75554,1.12887,1.09209
66666.7,61111.1,0.332445,0.410354,3.00802,1.23435,1.19204
72222.2,61111.1,0.316447,0.423885,3.16008,1.33951,1.29124
77777.8,61111.1,0.285902,0.418386,3.4977,1.46339,1.38526
83333.3,61111.1,0.27462,0.415726,3.6414,1.51382,1.49079
88888.9,61111.1,0.270087,0.410897,3.70251,1.52135,1.57344
94444.4,61111.1,0.240162,0.402694,4.16386,1.67676,1.6612
100000.0,61111.1,0.240949,0.406712,4.15025,1.68796,1.79932
