M,G,beta,phi,T,mu,mid
50000.0,66666.7,0.451347,0.381747,2.21559,0.845795,0.828466
55555.6,66666.7,0.405611,0.385232,2.46542,0.949758,0.907856
61111.1,66666.7,0.376214,0.379116,2.65806,1.00771,1.00697
66666.7,66666.7,0.347803,0.380757,2.87519,1.09475,1.09463
72222.2,66666.7,0.315076,0.369944,3.17384,1.17414,1.19246
77777.8,66666.7,0.299927,0.378456,3.33415,1.26183,1.25845
83333.3,66666.7,0.263797,0.385152,3.79079,1.46003,1.37845
88888.9,66666.7,0.252179,0.37309,3.96544,1.47947,1.46599
94444.4,66666.7,0.241369,0.372767,4.14304,1.54439,1.55539
100000.0,66666.7,0.222902,0.379241,4.48627,1.70138,1.64237
50000.0,72222.2,0.450881,0.346018,2.21788,0.767425,0.760353
55555.6,72222.2,0.417238,0.347298,2.39671,0.832374,0.850557
61111.1,72222.2,0.371555,0.352599,2.69139,0.948982,0.913631
66666.7,72222.2,0.339748,0.356213,2.94336,1.04846,1.00831
72222.2,72222.2,0.318135,0.360368,3.14332,1.13275,1.08575
77777.8,72222.2,0.294427,0.350615,3.39643,1.19084,1.17953
83333.3,72222.2,0.282021,0.349879,3.54584,1.24062,1.25913
88888.9,72222.2,0.268633,0.354129,3.72255,1.31826,1.34505
94444.4,72222.2,0.243468,0.359584,4.10731,1.47692,1.44993
100000.0,72222.2,0.224755,0.344723,4.44929,1.53377,1.50897
50000.0,77777.8,0.450157,0.321016,2.22145,0.713121,0.705035
55555.6,77777.8,0.414206,0.340044,2.41426,0.820954,0.781149
61111.1,77777.8,0.368912,0.324695,2.71068,0.880143,0.863535
66666.7,77777.8,0.335022,0.324703,2.98488,0.9692,0.937651
72222.2,77777.8,0.30527,0.315476,3.27579,1.03343,1.01673
77777.8,77777.8,0.289238,0.322648,3.45736,1.11551,1.10088
83333.3,77777.8,0.275446,0.320823,3.63047,1.16474,1.17485
88888.9,77777.8,0.254078,0.334464,3.9358,1.31638,1.26806
94444.4,77777.8,0.243479,0.333529,4.10713,1.36985,1.31519
100000.0,77777.8,0.241233,0.324284,4.14537,1.34428,1.41854
50000.0,83333.3,0.442711,0.295408,2.25881,0.66727,0.660314
55555.6,83333.3,0.414397,0.302186,2.41315,0.729218,0.731874
61111.1,83333.3,0.376891,0.311598,2.65329,0.826759,0.80162
66666.7,83333.3,0.341049,0.305551,2.93213,0.895913,0.868406
72222.2,83333.3,0.315825,0.301292,3.16631,0.953982,0.952168
77777.8,83333.3,0.293537,0.293909,3.40672,1.00127,1.01598
83333.3,83333.3,0.275759,0.29763,3.62635,1.07931,1.0806
88888.9,83333.3,0.255396,0.311012,3.91549,1.21776,1.18195
94444.4,83333.3,0.235492,0.302919,4.24643,1.28633,1.23264
100000.0,83333.3,0.21755,0.301293,4.59664,1.38494,1.306
50000.0,88888.9,0.459604,0.28259,2.17578,0.614856,0.61883
55555.6,88888.9,0.418765,0.281443,2.38797,0.672077,0.690333
61111.1,88888.9,0.369668,0.294302,2.70513,0.796124,0.748389
66666.7,88888.9,0.345773,0.280057,2.89207,0.809945,0.811631
72222.2,88888.9,0.31848,0.288604,3.13992,0.906193,0.880544
77777.8,88888.9,0.281891,0.278908,3.54747,0.989418,0.956513
83333.3,88888.9,0.271287,0.279398,3.68613,1.0299,1.03505
88888.9,88888.9,0.248828,0.295279,4.01884,1.18668,1.11161
94444.4,88888.9,0.246985,0.275578,4.04882,1.11577,1.16709
100000.0,88888.9,0.226713,0.285119,4.41086,1.25762,1.21137
50000.0,94444.4,0.457033,0.272316,2.18802,0.595834,0.569794
55555.6,94444.4,0.4042,0.259704,2.47403,0.642514,0.649906
61111.1,94444.4,0.373424,0.257038,2.67792,0.688328,0.707582
66666.7,94444.4,0.338878,0.263888,2.95091,0.778711,0.773722
72222.2,94444.4,0.315493,0.272747,3.16964,0.864511,0.815778
77777.8,94444.4,0.289344,0.259436,3.45609,0.896637,0.891825
83333.3,94444.4,0.265698,0.263086,3.76368,0.99017,0.964369
88888.9,94444.4,0.251849,0.274382,3.97063,1.08947,1.02051
94444.4,94444.4,0.245229,0.265006,4.07782,1.08065,1.10582
100000.0,94444.4,0.223849,0.261372,4.4673,1.16763,1.11942
50000.0,100000.0,0.460858,0.251102,2.16987,0.544857,0.556391
55555.6,100000.0,0.416981,0.264711,2.39819,0.634827,0.596632
61111.1,100000.0,0.365634,0.257566,2.73498,0.704436,0.676846
66666.7,100000.0,0.339727,0.246922,2.94354,0.726824,0.721385
72222.2,100000.0,0.314595,0.243675,3.17869,0.774565,0.793076
77777.8,100000.0,0.29747,0.252962,3.36168,0.850377,0.862375
83333.3,100000.0,0.267793,0.24963,3.73423,0.932178,0.903281
88888.9,100000.0,0.24628,0.254749,4.06043,1.03439,0.977359
94444.4,100000.0,0.233007,0.253007,4.29172,1.08584,1.03853
100000.0,100000.0,0.231547,0.249797,4.31877,1.07882,1.08151
