M,G,beta,phi,T,mu,mid
50000.0,50000.0,0.453502,0.507328,2.20506,1.11869,1.10061
55555.6,50000.0,0.404007,0.509613,2.47521,1.2614,1.22798
61111.1,50000.0,0.369765,0.509804,2.70442,1.37872,1.34603
66666.7,50000.0,0.344918,0.510783,2.89924,1.48088,1.48278
72222.2,50000.0,0.316215,0.503093,3.16241,1.59098,1.60622
77777.8,50000.0,0.288327,0.509552,3.46829,1.76727,1.73341
83333.3,50000.0,0.269362,0.504015,3.71248,1.87114,1.86748
88888.9,50000.0,0.253241,0.504326,3.94881,1.99149,2.01193
94444.4,50000.0,0.243758,0.494198,4.10243,2.02741,2.00494
100000.0,50000.0,0.228374,0.503257,4.37878,2.20365,2.11449
50000.0,55555.6,0.465577,0.456348,2.14787,0.980178,0.990593
55555.6,55555.6,0.407597,0.453198,2.4534,1.11188,1.09664
61111.1,55555.6,0.38148,0.44032,2.62137,1.15424,1.21336
66666.7,55555.6,0.348385,0.455303,2.87039,1.3069,1.30915
72222.2,55555.6,0.31942,0.452619,3.13067,1.417,1.43272
77777.8,55555.6,0.299995,0.46017,3.33339,1.53392,1.54251
83333.3,55555.6,0.269011,0.451294,3.71732,1.6776,1.6806
88888.9,55555.6,0.261239,0.463484,3.82791,1.77417,1.77939
94444.4,55555.6,0.241643,0.445577,4.13834,1.84395,1.80352
100000.0,55555.6,0.228548,0.449664,4.37545,1.96748,1.91671
50000.0,61111.1,0.479034,0.412847,2.08753,0.861831,0.890626
55555.6,61111.1,0.414537,0.398431,2.41233,0.961147,0.991162
61111.1,61111.1,0.369818,0.423827,2.70404,1.14604,1.10347
66666.7,61111.1,0.337079,0.409568,2.96667,1.21505,1.20028
72222.2,61111.1,0.319505,0.419626,3.12984,1.31336,1.30234
77777.8,61111.1,0.29574,0.413396,3.38135,1.39784,1.40649
83333.3,61111.1,0.282243,0.399325,3.54305,1.41483,1.49621
88888.9,61111.1,0.267207,0.412522,3.74242,1.54383,1.54086
94444.4,61111.1,0.255534,0.410797,3.91337,1.6076,1.65073
100000.0,61111.1,0.245473,0.400754,4.07377,1.63258,1.75713
50000.0,66666.7,0.457197,0.374133,2.18724,0.81832,0.806734
55555.6,66666.7,0.40613,0.378147,2.46227,0.931098,0.898523
61111.1,66666.7,0.381159,0.385299,2.62357,1.01086,1.01603
66666.7,66666.7,0.35646,0.378581,2.80537,1.06206,1.10171
72222.2,66666.7,0.325112,0.376447,3.07586,1.1579,1.18913
77777.8,66666.7,0.308572,0.377691,3.24074,1.224,1.28124
83333.3,66666.7,0.27358,0.38402,3.65524,1.40368,1.33209
88888.9,66666.7,0.269216,0.377093,3.71449,1.40071,1.41662
94444.4,66666.7,0.249761,0.379657,4.00383,1.52008,1.49599
100000.0,66666.7,0.2361,0.36367,4.2355,1.54032,1.56682
50000.0,72222.2,0.455935,0.346945,2.19329,0.760952,0.750085
55555.6,72222.2,0.408902,0.347782,2.44557,0.850527,0.828051
61111.1,72222.2,0.373692,0.347616,2.676,0.93022,0.944685
66666.7,72222.2,0.340316,0.351761,2.93845,1.03363,1.00263
72222.2,72222.2,0.30833,0.351848,3.24328,1.14114,1.1043
77777.8,72222.2,0.298375,0.339501,3.35149,1.13784,1.16942
83333.3,72222.2,0.296448,0.342501,3.37328,1.15535,1.24782
88888.9,72222.2,0.258884,0.347863,3.86273,1.3437,1.31123
94444.4,72222.2,0.246504,0.337642,4.05673,1.36972,1.39563
100000.0,72222.2,0.229946,0.345687,4.34884,1.50334,1.49179
50000.0,77777.8,0.459462,0.311756,2.17646,0.678524,0.700691
55555.6,77777.8,0.414545,0.330838,2.41228,0.798075,0.785835
61111.1,77777.8,0.374195,0.332916,2.6724,0.889686,0.864181
66666.7,77777.8,0.343639,0.320463,2.91003,0.932557,0.940475
72222.2,77777.8,0.314763,0.319264,3.177,1.0143,1.02611
77777.8,77777.8,0.296134,0.31434,3.37685,1.06148,1.07219
83333.3,77777.8,0.274545,0.314714,3.64239,1.14631,1.1509
88888.9,77777.8,0.262212,0.324876,3.81371,1.23898,1.20572
94444.4,77777.8,0.242015,0.326815,4.13198,1.35039,1.2697
100000.0,77777.8,0.234464,0.321852,4.26506,1.37272,1.37458
50000.0,83333.3,0.466996,0.299818,2.14134,0.642013,0.647998
55555.6,83333.3,0.426573,0.296622,2.34427,0.695362,0.726677
61111.1,83333.3,0.388014,0.308406,2.57722,0.794832,0.803541
66666.7,83333.3,0.342403,0.291072,2.92054,0.850086,0.862569
72222.2,83333.3,0.313048,0.305781,3.19439,0.976785,0.944438
77777.8,83333.3,0.298696,0.300804,3.34788,1.00706,1.02492
83333.3,83333.3,0.280551,0.288104,3.56442,1.02692,1.0685
88888.9,83333.3,0.250515,0.290805,3.99178,1.16083,1.12478
94444.4,83333.3,0.256234,0.292423,3.90268,1.14123,1.20635
100000.0,83333.3,0.24657,0.300469,4.05564,1.21859,1.30912
50000.0,88888.9,0.465946,0.278163,2.14617,0.596986,0.607183
