M,G,beta,phi,T,mu,mid
55555.6,88888.9,0.404191,0.278438,2.47408,0.688877,0.679529
61111.1,88888.9,0.380557,0.288053,2.62773,0.756926,0.758606
66666.7,88888.9,0.343662,0.264428,2.90984,0.769443,0.821901
72222.2,88888.9,0.322611,0.278738,3.0997,0.864004,0.899338
77777.8,88888.9,0.304507,0.279099,3.284,0.91656,0.931926
83333.3,88888.9,0.277032,0.272837,3.60969,0.984857,1.0098
88888.9,88888.9,0.263672,0.281698,3.79258,1.06836,1.08941
94444.4,88888.9,0.247675,0.281548,4.03756,1.13677,1.12703
100000.0,88888.9,0.253223,0.286264,3.94908,1.13048,1.22896
50000.0,94444.4,0.46726,0.264261,2.14014,0.565554,0.563835
55555.6,94444.4,0.412621,0.261879,2.42353,0.634674,0.637664
61111.1,94444.4,0.370817,0.26379,2.69675,0.711374,0.718862
66666.7,94444.4,0.343113,0.269431,2.91449,0.785252,0.773302
72222.2,94444.4,0.317959,0.265369,3.14506,0.8346,0.822468
77777.8,94444.4,0.313673,0.262011,3.18803,0.8353,0.881356
83333.3,94444.4,0.266431,0.273137,3.75331,1.02517,0.941829
88888.9,94444.4,0.264498,0.258162,3.78075,0.976044,0.996949
94444.4,94444.4,0.250442,0.254356,3.99294,1.01563,1.08362
100000.0,94444.4,0.2258,0.266183,4.42869,1.17884,1.12533
50000.0,100000.0,0.466748,0.261156,2.14248,0.559523,0.555689
55555.6,100000.0,0.421419,0.250629,2.37294,0.594727,0.595576
61111.1,100000.0,0.383449,0.258889,2.60791,0.675158,0.665742
66666.7,100000.0,0.354601,0.251648,2.82007,0.709665,0.735116
72222.2,100000.0,0.318452,0.249454,3.14019,0.783334,0.778022
77777.8,100000.0,0.293806,0.236223,3.40361,0.804011,0.846197
83333.3,100000.0,0.284328,0.243975,3.51706,0.858076,0.903428
88888.9,100000.0,0.249634,0.248372,4.00587,0.994944,0.974333
94444.4,100000.0,0.238382,0.250735,4.19495,1.05182,1.02845
100000.0,100000.0,0.236145,0.24411,4.23469,1.03373,1.08258
